REF_AREA,REF_AREA_LABEL,months_count,mean_inflation,volatility,max_inflation,min_inflation,cluster,cluster_name
AFG,Afghanistan,294,7.382665707482993,11.97255566226886,61.056952,-23.910326,0,Stable Inflation
ALA,Aland Islands,294,2.387619431972789,3.716109834866799,17.44,-5.258964,1,Volatile Inflation
ALB,Albania,294,4.173020574829937,2.8762739941169326,14.692588,-3.215849,1,Volatile Inflation
DZA,Algeria,294,5.021734826530612,4.796755521510901,16.89136,-6.012658,1,Volatile Inflation
AND,Andorra,294,2.868838425170067,2.815127148515712,16.346154,-0.718563,1,Volatile Inflation
AGO,Angola,294,31.832275595238126,32.12992047916835,166.115402,5.807278,1,Volatile Inflation
AIA,Anguilla,291,3.509576756013744,4.179675369939739,17.534469,-4.72973,1,Volatile Inflation
ATG,Antigua and Barbuda,291,3.326458859106529,3.057312104148528,14.367433,-3.949941,1,Volatile Inflation
ARG,Argentina,294,35.46987042857143,54.86480999896951,308.269787,-4.232375,1,Volatile Inflation
ARM,Armenia,294,4.30355210884354,5.073058860003878,17.267516,-7.378679,1,Volatile Inflation
ABW,Aruba,294,4.0580237653061255,4.555577752847056,16.384128,-4.980301,1,Volatile Inflation
AUS,Australia,294,3.009156632653061,2.4181605269407687,10.062893,-3.225806,1,Volatile Inflation
AUT,Austria,294,2.955372765306124,3.0758853501710206,16.992188,-2.253032,1,Volatile Inflation
AZE,Azerbaijan,294,7.901869602040815,7.979206053451782,38.505653,-6.578876,1,Volatile Inflation
BHS,"Bahamas, The",293,2.3901801296928338,3.122036482666872,17.997008,-4.048257,1,Volatile Inflation
BHR,Bahrain,294,2.6854087482993205,3.5792831724722065,13.018681,-9.033778,0,Stable Inflation
BGD,Bangladesh,294,7.064173323129251,2.828691862376987,15.447809,1.262933,1,Volatile Inflation
BRB,Barbados,293,6.62078321501706,5.70115239486067,27.404382,-2.423647,1,Volatile Inflation
BLR,Belarus,294,20.633311632653072,24.60262919954029,124.320631,0.095521,1,Volatile Inflation
BEL,Belgium,294,2.929418894557823,3.2957204671070413,18.023962,-1.579511,1,Volatile Inflation
BLZ,Belize,294,2.65580950340136,4.493666707195757,18.755212,-6.172711,1,Volatile Inflation
BEN,Benin,294,2.542419472789117,5.986541378062014,34.270818,-10.719132,0,Stable Inflation
BMU,Bermuda,291,3.1860731065292103,1.853057614537243,10.553633,0.391007,1,Volatile Inflation
BTN,Bhutan,294,6.4457054353741565,4.018718847591167,18.34621,0.482855,1,Volatile Inflation
BOL,Bolivia,294,6.045083411564625,7.030073973400816,37.787441,-6.919602,1,Volatile Inflation
BIH,Bosnia and Herzegovina,294,3.2548308945578235,5.661900620668974,26.176148,-4.218993,1,Volatile Inflation
BWA,Botswana,294,6.747418258503407,5.255510582205553,25.089606,-1.352657,1,Volatile Inflation
BRA,Brazil,294,7.614869908163261,5.167299683168311,26.970279,-2.317124,1,Volatile Inflation
VGB,British Virgin Islands,252,1.679188059523809,1.4013273949050782,5.775648,-2.8565,1,Volatile Inflation
BRN,Brunei Darussalam,294,0.8219529897959186,1.7856370180979233,6.973643,-3.972381,1,Volatile Inflation
BGR,Bulgaria,294,5.096977397959183,6.880284193504084,26.603005,-7.162276,1,Volatile Inflation
BFA,Burkina Faso,290,4.129965617241379,8.39943666371861,37.683705,-13.466667,0,Stable Inflation
BDI,Burundi,294,11.542430904761911,13.407277759550096,48.875256,-20.0,0,Stable Inflation
CPV,Cabo Verde,294,2.545937363945576,4.357064597946036,17.924349,-4.130064,1,Volatile Inflation
KHM,Cambodia,283,5.4344061554770295,7.63716043223955,52.363765,-8.138195,1,Volatile Inflation
CMR,Cameroon,289,3.5506967024221443,3.2599455308461063,16.420095,-1.393775,1,Volatile Inflation
CAN,Canada,294,2.9842442721088425,2.7017949172167883,11.414077,-4.098361,1,Volatile Inflation
CYM,Cayman Islands,291,3.543337116838489,2.4415278793220776,14.05912,-1.012152,1,Volatile Inflation
TCD,Chad,294,3.56565279251701,8.959371354094538,23.704687,-21.822772,0,Stable Inflation
CHL,Chile,292,5.582261938356165,5.357833206477321,24.715694,-3.006984,1,Volatile Inflation
HKG,"Hong Kong SAR, China",294,3.684017642857144,4.712401835025032,19.755601,-3.74269,1,Volatile Inflation
MAC,"Macao SAR, China",294,3.8952233945578247,4.154369576865389,19.961052,-3.595355,1,Volatile Inflation
CHN,China,294,4.305177612244898,5.688658987896262,23.331268,-6.06596,1,Volatile Inflation
COL,Colombia,294,6.987774931972787,5.954450377675413,27.80979,-2.618279,1,Volatile Inflation
COM,Comoros,276,3.1564039891304345,5.592337164977578,20.652174,-17.7083,0,Stable Inflation
COG,"Congo, Rep.",292,2.2978629657534246,3.919941733018164,14.240868,-9.641185,0,Stable Inflation
COK,Cook Islands,291,3.5160725360824747,4.289298695538826,23.485477,-0.921659,1,Volatile Inflation
CRI,Costa Rica,294,7.045296034013614,7.085218150455537,27.734831,-5.32248,1,Volatile Inflation
CIV,Cote d'Ivoire,294,3.5625281292517017,4.906250973785533,25.71361,-14.012171,0,Stable Inflation
HRV,Croatia,294,3.1748004999999986,4.559045580431373,19.759926,-4.061896,1,Volatile Inflation
CUW,Curacao,276,6.650077405797099,4.969975980095173,25.449315,-3.386518,1,Volatile Inflation
CYP,Cyprus,294,2.796219734693879,3.986049996440546,15.463918,-6.206308,1,Volatile Inflation
CZE,Czechia,294,3.0982727142857143,5.494055799953088,26.026201,-6.506849,1,Volatile Inflation
COD,"Congo, Dem. Rep.",194,37.59075156701033,109.84765600292714,634.979723,-21.042746,0,Stable Inflation
DNK,Denmark,294,2.4864644421768705,3.4583715894707283,15.928369,-3.027027,1,Volatile Inflation
DJI,Djibouti,294,4.824804727891157,6.184243029946683,32.317562,-11.268038,0,Stable Inflation
DMA,Dominica,289,3.1817619100346035,2.9260785483001843,14.764,-1.164666,1,Volatile Inflation
DOM,Dominican Republic,294,8.876458068027212,15.397913022894016,94.538514,-9.866311,0,Stable Inflation
ECU,Ecuador,294,7.375725292516999,15.124703590152922,140.840809,-4.35449,1,Volatile Inflation
EGY,"Egypt, Arab Rep.",294,15.364635248299342,14.30963733529942,73.589165,-4.815464,1,Volatile Inflation
SLV,El Salvador,290,3.754846724137933,3.943357463046521,14.501532,-5.57264,1,Volatile Inflation
GNQ,Equatorial Guinea,294,4.546916068027213,3.9827148166003896,15.516079,-5.821862,1,Volatile Inflation
EST,Estonia,294,4.943270013605443,6.318271214190575,29.739443,-6.849315,1,Volatile Inflation
SWZ,Eswatini,294,8.468211942176874,6.257272123684938,30.507974,-8.472792,1,Volatile Inflation
ETH,Ethiopia,294,17.290014585034022,17.245149822303492,91.732484,-22.71172,0,Stable Inflation
FJI,Fiji,294,4.490208870748302,3.85857479432993,15.12334,-6.161972,1,Volatile Inflation
FIN,Finland,294,2.4192020000000003,3.9896764152863504,16.269363,-6.555134,1,Volatile Inflation
FRA,France,294,2.2912251326530613,3.08649099321654,16.903549,-1.866405,1,Volatile Inflation
GUF,French Guiana,294,2.122731241496598,2.055640209902276,10.608553,-1.1,1,Volatile Inflation
PYF,French Polynesia,294,2.765321326530614,2.646995028636287,12.56603,-4.904193,1,Volatile Inflation
GAB,Gabon,291,2.6875717663230225,3.106483717240919,9.479292,-3.900905,1,Volatile Inflation
GMB,"Gambia, The",294,9.086190826530617,5.36274145583316,26.041717,0.274821,1,Volatile Inflation
GEO,Georgia,294,7.19808923809524,6.833825835798485,30.699868,-10.937814,0,Stable Inflation
DEU,Germany,294,2.8274147142857147,3.8712904415777,21.198157,-3.090721,1,Volatile Inflation
GHA,Ghana,294,15.070630452380955,13.72430910783357,76.771654,0.373769,1,Volatile Inflation
GRC,Greece,294,2.717943493197279,3.732294346723498,15.476156,-2.952419,1,Volatile Inflation
GRL,Greenland,289,2.690448761245676,1.308082129917101,6.828697,-0.073801,1,Volatile Inflation
GRD,Grenada,289,3.0168788339100354,3.8520151611412823,17.304147,-6.285178,1,Volatile Inflation
GLP,Guadeloupe,294,2.4964102721088457,2.151618980285007,11.639344,-0.670691,1,Volatile Inflation
GUM,Guam,288,4.664199694444443,3.397600728780575,16.679021,-3.99348,1,Volatile Inflation
GTM,Guatemala,294,8.292837306122458,3.843131688484443,19.394735,-3.129246,1,Volatile Inflation
GIN,Guinea,292,16.676672270547936,11.565186889814653,64.427535,-1.498747,1,Volatile Inflation
GNB,Guinea-Bissau,290,3.5472306379310345,5.026860255795967,18.436448,-12.618424,0,Stable Inflation
HTI,Haiti,294,15.894736795918377,12.25578169807959,53.072892,-10.511473,0,Stable Inflation
HND,Honduras,294,5.732058374149664,4.577459736168997,21.651376,-5.184109,1,Volatile Inflation
HUN,Hungary,294,6.505937425170064,8.344198760805382,47.849177,-2.696456,1,Volatile Inflation
